  Wind_max,  Wind_mittel,Niederschlagsform,  Bedeckungsgrad, Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m
7.9,3.7,0,0.3,976.33,23.2,51.54,29.3,16.9
11.1,5.7,0,0.5,976.82,20.6,39.92,26.4,14.6
12.5,4.9,0,0.5,976.61,20.7,40.21,27.1,14.1
8.6,3,0,3.4,978.55,21.5,42.5,27.8,15
11.8,2.5,1,6.1,977.85,19.9,70.63,28.6,14.5
9.3,2.2,1,6.9,977.83,17.4,90.38,21.1,14.1
7.7,2.2,1,4.8,982.04,19.6,75,25.2,14.3
7.5,2.4,0,4.5,984.87,20.4,64,26.4,13.8
7.5,2.5,0,0.8,984.83,19.9,52.79,26,12.3
8.1,2.4,0,3.3,983.28,19.3,57.54,25.2,11.7
9.8,3.3,0,5.3,980.2,16,67.5,18.9,13.7
8.2,2.4,1,4,979.61,15.6,70.38,20.9,10.8
7.9,1.8,0,4.5,980.67,18.3,67.33,24.4,13.9
7.2,1.9,0,1.4,982,20.4,61.88,27.3,12.2
6.7,2.4,0,2.3,980.85,22.1,55.08,28.5,14.8
13.4,2.7,1,4.7,978.46,19.8,67.58,28.2,14.8
7,1.5,1,3.7,976.35,20.4,67.17,27.6,13.3
15.1,2.3,1,3.6,978.17,21.1,62.54,27.8,13.8
6.7,2.2,0,3.5,980.46,21.2,55.04,26.9,14.9
6.7,2.4,0,3.5,979.77,21.1,53.33,27.7,13.9
11,2.1,1,4.9,976.05,22,53.71,29,15.2
8.6,3.2,0,6.7,975.31,19.6,74.83,24.4,15.7
7.7,2.3,0,6.1,977.55,20.6,68.08,26.6,15.6
6.2,1.7,0,1.1,979.99,21.6,63.29,27.7,13.9
7.2,2.2,0,0.4,977.48,23.8,55.71,30.7,17
7.5,1.7,0,1.4,977.47,25.4,50.13,32.6,16.4
8.1,2.7,0,1.4,977.28,26.7,46.33,33.4,19.1
7.4,1.9,1,1.8,974.94,26.2,44,32.9,17.5
13.2,3.9,1,5.3,973.9,22.6,60.63,28.5,17
8.7,2.3,0,4.6,977.46,22.9,59.46,30.1,15.7
9.8,1.6,0,2.9,978.72,24.5,56.63,32.1,15.8
8.4,2.5,1,1.8,979.94,24.8,56.29,31.9,16.9
10.6,2.3,1,6.7,983.19,19.8,83.71,24.3,15.8
5.7,1.5,0,1.3,984.28,22.7,68.92,30.6,14.4
7.7,2.8,0,0.5,982.49,26.1,55.21,33.3,18.8
7.4,1.8,0,2.2,980.54,26.7,51.96,33.9,17.9
8.7,3.7,0,2.8,982.05,25,51.58,30.2,19.5
12.5,3.5,0,1.4,978.47,24.9,45.96,32.8,17.4
13.4,3.5,1,3.4,974.3,26.9,48,34.7,19
20.7,3.9,1,6.1,976.54,22.7,63.79,25.7,17.9
19.2,5.2,1,5.8,976.83,20.7,72.63,29.2,14.2
11,4,1,3.7,985.75,17.1,64.25,23.3,11.8
10.8,2.9,0,4.5,985.69,16.8,59.71,23,11.9
8.2,2,1,2.8,978.63,19.6,51.83,28.1,10.2
13.7,3.9,1,5.8,973.03,18,80.25,22.6,14.5
9.6,3.1,0,3.5,979.19,17.4,79.67,22.1,12.8
6.7,1.8,0,4.5,982.85,17.9,76.25,23.3,12.7
5.1,1.4,0,2,979,20.8,64.33,28.6,11.9
10.3,2.7,1,4.1,978.88,21.1,67.33,27.6,15.1
7,2.1,0,2,984.6,19.3,59.29,25.7,13.4
8.2,2.1,0,1.7,984.02,19.7,60.33,27.8,10.9
7.2,2.3,0,2.7,982.74,20.2,69.71,26.7,13.8
10.3,1.7,0,3.3,982,21.9,64.75,28.7,16.1
6.9,2.1,0,1.2,979.57,23.4,56.92,31.4,15.6
14.4,2.2,1,3.5,976.64,21.4,71.54,30.1,15.7
10.5,3.9,1,6.2,976.64,15.6,77.08,18.7,11.9
9.8,4,1,4.3,976.6,12.7,71.25,17.6,6.6
11.8,1.9,1,3.9,979.39,13.7,60.21,20.5,5.1
10.3,3.5,1,7,978.32,15,83.96,18.4,11.3
5,1.6,0,3.8,981.16,16.5,75.71,23.9,9.4
13.7,3.5,1,5.5,976.95,18.3,74.63,24.6,11.8
9.4,2.7,1,7.4,983.02,15.5,87.5,18.8,13.4
7.7,2.4,1,7,983.56,15,66.54,18.7,11.3
9.4,3.8,0,1.5,986.25,15,55.88,20.8,8.9
11.8,4.2,0,5.1,984.28,15.2,65.21,18.2,10.1
6.2,2,0,7,979.61,16.8,76.25,21.9,14
4.6,1.2,0,4.3,978.9,18.4,74.08,24.6,11.9
5.7,1.7,0,1.6,978.52,19.9,71.25,26.6,13.4
7.7,2.1,1,5.8,975.06,18.2,80.58,23.7,13.4
9.8,3.7,1,5.9,978.53,15,84.63,18.7,8
8.1,1.5,0,2.3,983.38,13.6,71.08,21.1,5.7
5.8,1.4,0,4.6,984.09,16.8,60.88,25,8.2
10.3,2.6,0,5.9,985.22,18.8,59.25,27.1,11.2
9.9,2,0,3,986.84,18.5,60.71,27.1,10.2
9.3,2.2,0,1.7,983.21,20.8,54.96,29.2,12.9
-999,1.9,1,6.9,981.72,16.8,85.58,20.3,14.6
5.7,-999,0,6.5,982.89,16,77.71,21.1,10.3
7.2,2.1,0,2,986.7,13.6,69.96,21,7
7.2,2.4,0,3.6,984.37,16.3,61.46,25,8.5
6.9,1.9,0,3.8,981.71,18.5,59.63,27.9,9.5
12.2,3.3,1,2.1,979.03,21.2,60.33,29.7,14.1
11.1,2.1,0,2.1,982.15,20.5,67.42,28.6,13.3
9.8,2.4,0,2.9,980.87,19.6,69.13,26.9,12.2
15.9,5.3,1,6.2,976.6,15.9,70.96,22.8,10.1
9.6,3.3,1,7.1,984.05,12.1,68.54,17.3,7.3
25.9,6.3,1,7.6,976.83,13.9,91.13,18.6,8.6
7.4,2.8,0,2.5,994.57,9.4,73.04,15.4,4.4
10.1,4,0,2.2,998.39,8.7,68.58,14.9,3.1
7.7,2.2,0,4,995.43,10.3,59,19.4,2.2
5.1,1.5,0,0.1,989.93,13.4,66.33,23.5,3.9
14.1,3.1,1,3.3,985.56,13,70.42,20.8,6.2
12.2,5.4,0,4.3,986.83,10.5,56.38,16,5.8
5.7,2.5,1,0.8,979.23,11.2,62.88,19.2,3.7
11.8,3.3,1,5.4,981.1,8.7,75.08,14.6,3.7
13.9,4.6,1,6.8,985.23,7.2,86.21,10.1,2.4
7.5,3.2,1,5.8,987.76,11.3,87.21,16.7,5.5
