  Wind_max,  Wind_mittel,Niederschlagsform,Schneehöhe,Bedeckungsgrad, Dampfdruck,  Luftdruck, Temp_mittel, rel_Feuchte, Temp_max_2m, Temp_min_2m, Temp_min_5cm
4,1.1,1,0,7,8,985.2,5.4,89,7.9,3.5,2.6
7.3,4.1,0,0,5.3,7.9,980.2,4.8,92,6.4,3.5,3.3
12.2,5.9,0,0,8,6.7,975.9,4.3,78,6.1,3.2,1.9
9.5,5.6,0,0,3.3,4.9,979,-0.8,82,3.2,-2,-2.9
13.9,6.8,0,0,0.7,3.2,983.9,-2.2,62,0.2,-5.1,-5.9
10,4.8,0,0,1,3.1,979.5,-3.7,65,-0.4,-6.2,-7.5
8.3,4.3,7,0,7,4,981.1,-3,83,-1.8,-5.4,-8.2
6.6,2.9,0,0,5,4,988.3,-3.2,80,-0.8,-4.3,-3.1
15,4.6,8,0,6.3,4.5,985.8,-2.1,88,-0.5,-8,-11
17.5,7,1,0,8,8,976.4,4.6,97,6.4,-0.5,-0.5
18.6,7.8,1,0,7,8.4,968.7,6,89,7.8,5.1,5.4
20.4,6.7,8,0,7.3,6.9,957.9,3.2,86,7.3,1.1,3.3
